data,vendas_saz,vendas_saz_preco_mes,vendas_saz_preco_ano,prod_auto_leve,prod_auto_leve_preco_atual_mes,prod_auto-leve_ano,expo_saz,expo_saz_preço_mes,expo__saz_preco_ano,expo_saz_sa,expo_saz_sa_mes,vendas_total_saz,vendas_total_saz_preco_mes,vendas_total_saz_preco_ano,prod_total,prod_total_preco_mes,prod_total_preco_ano,prod_total_sa,prod_total_sa_mes,prod_total_saz,prod_total_saz_preco_mes,prod_total_saz_preco_ano,vendas,vendas_preco_mes,vendas_preco_ano,vendas_sa,vendas_sa_mes,expo_auto,expo_preco_mes,expo_preco_ano,vendas_total,vendas_total_preco_mes,vendas_total_sa_mes,ano
2021-08-01,141804.0,-4.51,-13.98,148857.0,0.7,-26.15,28721.0,23.26,5.97,28145.7,13.46,170525.0,-0.75,-11.16,165330.0,0.72,-21.27,146760.84,-9.96,147272.0,-6.55,-24.5,149456.0,-1.0,-9.71,133875.44,-8.56,29444.0,23.89,5.55,178900.0,2.38,-5.31,2021
2018-02-01,175386.0,-0.52,8.93,203610.0,-3.3,4.37,62857.0,2.02,-2.87,61848.11,0.18,238243.0,0.13,5.55,213498.0,-2.61,5.82,230685.84,-6.78,231554.0,-8.92,4.64,138510.0,-13.58,14.19,170416.27,-7.74,66321.0,42.94,-1.14,204831.0,-0.89,-5.11,2018
2018-10-01,210175.0,6.3,18.64,250018.0,18.09,2.41,41340.0,-4.34,-35.62,41141.7,-3.73,251516.0,4.39,4.21,263186.0,17.98,3.65,242187.78,8.1,241771.0,2.71,0.25,225700.0,20.7,24.07,219450.02,15.66,38734.0,-1.81,-37.32,264434.0,16.78,10.98,2018
2022-09-01,162401.0,-2.98,28.17,189007.0,-12.97,18.82,31770.0,-31.2,18.68,30921.12,-32.04,194171.0,-9.08,26.51,207762.0,-12.69,19.34,200447.97,-9.4,203971.0,-3.5,18.98,168802.0,-8.51,26.76,169495.44,0.26,28544.0,-39.0,20.75,197346.0,-14.68,-3.3,2022
2018-06-01,181826.0,8.65,4.62,244732.0,20.51,18.91,60070.0,10.73,-5.08,59912.78,10.35,241896.0,9.16,2.03,256311.0,20.71,19.3,261064.73,31.27,255279.0,27.94,14.68,175796.0,0.09,0.8,179651.48,3.46,64918.0,6.85,-4.37,240714.0,1.83,4.25,2018
2020-12-01,190310.0,-1.48,-10.02,197802.0,-12.1,21.1,40656.0,-8.33,30.27,40107.78,-8.53,230967.0,-2.76,-4.83,209296.0,-12.13,22.75,237667.1,7.69,238743.0,4.33,14.84,222916.0,8.69,-4.35,189255.95,-2.27,38405.0,-12.73,32.4,261321.0,4.9,-4.28,2020
2021-01-01,190624.0,0.16,0.45,190156.0,-3.87,3.83,36744.0,-9.62,11.78,36645.64,-8.63,227367.0,-1.56,2.12,200398.0,-4.25,4.52,225243.1,-5.23,241717.0,1.25,8.19,154986.0,-30.47,-9.45,182779.56,-3.42,25918.0,-32.51,26.13,180904.0,-30.77,-3.41,2021
2021-06-01,160445.0,-4.65,36.76,151286.0,-14.66,65.36,29905.0,-6.44,95.42,29638.91,-9.37,190350.0,-4.93,43.53,167547.0,-13.12,70.19,172411.17,-6.47,170043.0,-9.99,50.26,158059.0,-6.6,36.58,162147.72,0.11,33512.0,-9.39,72.62,191571.0,-7.1,-2.15,2021
2018-04-01,201206.0,10.42,23.75,254154.0,-0.24,38.01,72381.0,13.69,18.94,74196.3,16.28,273587.0,11.27,22.44,266549.0,-0.37,39.15,263591.0,2.11,259603.0,4.12,28.45,190515.0,4.14,36.71,191948.38,3.4,72975.0,8.13,19.24,263490.0,5.22,7.14,2018
2018-07-01,190135.0,4.57,11.64,234222.0,-4.29,8.2,47921.0,-20.22,-24.33,48342.64,-19.31,238056.0,-1.59,1.89,245935.0,-4.05,8.9,242063.2,-7.28,243031.0,-4.8,8.59,190151.0,8.17,15.92,184850.2,2.89,49705.0,-23.43,-24.21,239856.0,-0.36,-1.33,2018
